"Category","ProductName","SubText","DiscountedPrice","OriginalPrice"
"Tea","Kazi & Kazi Organic Luxury Black Tea","200 gm",NA,"৳ 180"
"Tea","Kazi & Kazi Organic Moringa Herbal Infusion Tea 25 pcs","37.5 gm",NA,"৳ 290"
"Tea","Kazi & Kazi Organic Chamomile Herbal Infusion Tea 25 pcs","37.5 gm",NA,"৳ 490"
"Tea","Kazi & Kazi Organic Sleepy Tea 25 pcs","37.5 gm",NA,"৳ 490"
"Tea","Kazi & Kazi Organic Lemongrass Pyramid Herbal Infusion Tea 20 pcs","30 gm",NA,"৳ 210"
"Tea","Kazi & Kazi Organic Orthodox Pyramid Oolong Tea 20 pcs","40 gm",NA,"৳ 210"
"Tea","Kazi & Kazi Organic Orthodox Pyramid Green Tea 20 pcs","30 gm",NA,"৳ 210"
"Tea","Revival Lemon Green Tea","45 gm",NA,"৳ 160"
"Tea","Yummy Black Tea","500 gm",NA,"৳ 400"
"Tea","ZealCafe Instant Masala Tea (Red Tea)","1 kg",NA,"৳ 360"
"Tea","Kd Herbal Tea","100 gm",NA,"৳ 620"
"Tea","Halda Valley Red Robe Oolong Tea","45 gm",NA,"৳ 245"
"Tea","Revival Karak Masala Tea (Bundle Pack) 200 gm","2 pcs",NA,"৳ 440"
"Tea","Revival Karak Masala Tea","200 gm",NA,"৳ 220"
"Tea","Dr. H&H Slimming Tea Bags 30 pcs","60 gm",NA,"৳ 400"
"Tea","ACME Tea Premium Gold","200 gm",NA,"৳ 110"
"Tea","Loading more...",NA,NA,NA
"Soft Drinks","Fresh Cola","500 ml",NA,"৳ 40"
"Soft Drinks","Fresh Cola","250 ml",NA,"৳ 20"
"Soft Drinks","Maxx Cola","2 ltr",NA,"৳ 100"
"Soft Drinks","Maxx Cola","1 ltr",NA,"৳ 60"
"Soft Drinks","Rooh Afza (Free Ispaghol Bhusi 20 gm)","750 ml",NA,"৳ 550"
"Soft Drinks","Rooh Afza (Free Ispaghol Bhusi 10 gm)","300 ml",NA,"৳ 300"
"Soft Drinks","Clemon Pet","250 ml",NA,"৳ 20"
"Soft Drinks","Fresh Googly","250 ml",NA,"৳ 20"
"Soft Drinks","Fresh Googly Orange","500 ml","৳38","৳ 40"
"Soft Drinks","Fresh Gear Energy Drink","250 ml",NA,"৳ 25"
"Soft Drinks","Pepsi","500 ml",NA,"৳ 50"
"Soft Drinks","Sprite Can","250 ml",NA,"৳ 70"
"Soft Drinks","Fresh Up","500 ml",NA,"৳ 40"
"Soft Drinks","Coca-Cola","250 ml",NA,"৳ 25"
"Soft Drinks","RC Q Lemon Pet","250 ml",NA,"৳ 25"
"Soft Drinks","Royal Crown Club Soda Pet","500 ml",NA,"৳ 35"
"Soft Drinks","Mojo Pet","250 ml",NA,"৳ 20"
"Soft Drinks","Mojo Pet","1 ltr",NA,"৳ 60"
"Soft Drinks","Mojo Soft Drink","2 ltr",NA,"৳ 110"
"Soft Drinks","Coca-Cola","1 ltr",NA,"৳ 85"
"Soft Drinks","Coca-Cola","1.75 ltr",NA,"৳ 130"
"Soft Drinks","Sprite","250 ml",NA,"৳ 25"
"Soft Drinks","Fresh Mojito","250 ml",NA,"৳ 25"
"Soft Drinks","Sprite","1.75 ltr",NA,"৳ 130"
"Soft Drinks","Sprite","1 ltr",NA,"৳ 80"
"Soft Drinks","RC Cola","2 ltr",NA,"৳ 110"
"Soft Drinks","Coca-Cola Zero Can","250 ml",NA,"৳ 70"
"Soft Drinks","Mountain Dew","500 ml",NA,"৳ 50"
"Soft Drinks","RC Cola","250 ml",NA,"৳ 20"
"Soft Drinks","RC Jeera Pani","250 ml",NA,"৳ 25"
"Soft Drinks","Mojo Pet","500 ml",NA,"৳ 40"
"Soft Drinks","Lemu","250 ml",NA,"৳ 20"
"Soft Drinks","Fanta Orange Flavored","400 ml",NA,"৳ 40"
"Soft Drinks","Coca-Cola Can","250 ml",NA,"৳ 70"
"Soft Drinks","Sprite","400 ml","৳38","৳ 40"
"Soft Drinks","Clemon","2 ltr",NA,"৳ 110"
"Soft Drinks","Mojo Can","250 ml",NA,"৳ 40"
"Soft Drinks","7 Up","500 ml",NA,"৳ 50"
"Soft Drinks","Clemon Mojito Can","250 ml",NA,"৳ 50"
"Soft Drinks","Sunquick Mango Fruit Drink","250 ml",NA,"৳ 35"
"Soft Drinks","Fanta Orange Flavored","250 ml",NA,"৳ 25"
"Soft Drinks","Pepsi","1.75 ltr",NA,"৳ 150"
"Soft Drinks","7 Up","1.75 ltr",NA,"৳ 130"
"Soft Drinks","Houston Soft Drink Can","250 ml",NA,"৳ 40"
"Soft Drinks","Clemon","1 ltr",NA,"৳ 60"
"Soft Drinks","Evervess Club Soda","500 ml",NA,"৳ 40"
"Soft Drinks","RC Q Orange Pet","250 ml",NA,"৳ 20"
"Soft Drinks","Fresh Cola","1 ltr",NA,"৳ 60"
"Soft Drinks","Coca-Cola Zero Sugar Can (Imported)","320 ml",NA,"৳ 300"
"Soft Drinks","Speed Can","250 ml",NA,"৳ 50"
"Soft Drinks","Loading more...",NA,NA,NA
"Nuts and Dried fruits","Ruchi Spicy Cashew Nut","150 gm","৳599","৳ 650"
"Nuts and Dried fruits","Peanut Peeled (Vaja Cheena Badam)","100 gm","৳39","৳ 45"
"Nuts and Dried fruits","Dabbas Dates (Khejur)","500 gm","৳299","৳ 350"
"Nuts and Dried fruits","Royal Gardens Salted Cashews","100 gm",NA,"৳ 435"
"Nuts and Dried fruits","Farmer's Gold Dried Fruits","200 gm",NA,"৳ 350"
"Nuts and Dried fruits","Royal Gardens Premium Nuts","100 gm",NA,"৳ 350"
"Nuts and Dried fruits","Raisins (Kishmish)","100 gm",NA,"৳ 89"
"Nuts and Dried fruits","Almonds (Kath Badam)","100 gm","৳139","৳ 159"
"Nuts and Dried fruits","Cashew Nut (Kaju Badam)","100 gm","৳179","৳ 199"
"Nuts and Dried fruits","Mariyam Dates (Khejur)","500 gm",NA,"৳ 599"
"Nuts and Dried fruits","Walnuts (Akhrot)","100 gm","৳179","৳ 199"
"Nuts and Dried fruits","White Sesame Seed (Til)","100 gm","৳45","৳ 60"
"Nuts and Dried fruits","Kalmi Dates (Khejur)","500 gm","৳519","৳ 649"
"Nuts and Dried fruits","Medjool Dates (Khejur)","500 gm",NA,"৳ 899"
"Nuts and Dried fruits","Pistachio (Pesta Badam)","100 gm","৳339","৳ 359"
"Nuts and Dried fruits","Imperial Eats Cashew Nuts","220 gm",NA,"৳ 770"
"Nuts and Dried fruits","Ruchi Spicy Cashew Nut","40 gm",NA,"৳ 185"
"Nuts and Dried fruits","Blossoms Dried Mixed Plum","220 gm",NA,"৳ 300"
"Nuts and Dried fruits","Blossoms Dried Sakura Plum","220 gm",NA,"৳ 365"
"Nuts and Dried fruits","Royal Gardens Masala Cashews","150 gm",NA,"৳ 695"
"Nuts and Dried fruits","Farmer's Gold Mixed Nut","250 gm",NA,"৳ 380"
"Nuts and Dried fruits","Blue Diamond Almonds Bold Habanero BBQ","170 gm",NA,"৳ 850"
"Nuts and Dried fruits","Blue Diamond Almonds Honey Roasted","170 gm",NA,"৳ 850"
"Nuts and Dried fruits","Blue Diamond Almonds Bold Wasabi & Soy Sauce","170 gm",NA,"৳ 850"
"Nuts and Dried fruits","Fit Food Honey Roasted Almond","125 gm",NA,"৳ 260"
"Nuts and Dried fruits","BPM White Till","200 gm",NA,"৳ 90"
"Nuts and Dried fruits","Noi Salted Peanuts","110 gm",NA,"৳ 352"
"Nuts and Dried fruits","Nut Candy Salted Cashew Nuts (Kaju Badam)","140 gm",NA,"৳ 989"
"Nuts and Dried fruits","Nut Candy Salted Peanuts","150 gm",NA,"৳ 490"
"Nuts and Dried fruits","Fit Food Roasted Cashews","100 gm",NA,"৳ 280"
"Nuts and Dried fruits","Tong Garden Salted Almonds","35 gm",NA,"৳ 239"
"Nuts and Dried fruits","Tong Garden Salted Cocktail Nuts","40 gm",NA,"৳ 239"
"Nuts and Dried fruits","Tong Garden Japanese Rice Cracker Mixed Coated Peanut","150 gm",NA,"৳ 675"
"Nuts and Dried fruits","Crunchos Assorted Mix Nuts Tin","350 gm",NA,"৳ 1,619"
"Nuts and Dried fruits","Tong Garden Salted Pistachio (Pesta Badam)","130 gm",NA,"৳ 995"
"Nuts and Dried fruits","Tong Garden Salted Almonds","140 gm",NA,"৳ 995"
"Nuts and Dried fruits","Tong Garden Salted Peanuts Can","150 gm",NA,"৳ 695"
"Nuts and Dried fruits","Tong Garden Salted Cocktail Nuts","160 gm",NA,"৳ 995"
"Nuts and Dried fruits","Tong Garden Salted Cashew Nuts Can","150 gm",NA,"৳ 995"
"Nuts and Dried fruits","Royal Gardens Garlic Roasted Cashews","150 gm",NA,"৳ 695"
"Nuts and Dried fruits","Royal Gardens Salted Cashews","150 gm",NA,"৳ 695"
"Nuts and Dried fruits","Farmer's Gold Mixed Nut","120 gm",NA,"৳ 190"
"Nuts and Dried fruits","Farmer's Gold Almonds (Kath Badam)","200 gm",NA,"৳ 480"
